"Click to enlarge image","Нажмите, чтобы увеличить изображение"
"Click to see more images","Нажмите, чтобы увидеть больше изображений"
"PDF Proof","PDF Proof"
"Update preview","Обновить предпросмотр"
"Updating preview image","Предпросмотр обновляется"
"Next page","Следующая страница"
"Show previews","Показать предпросмотры"
"Hide previews","Скрыть предпросмотры"
"Show all order previews","Показать все изображения"
"Hide all order previews","Скрыть все изображения"
"Edit","Редактировать"
"Delete","Удалить"
"Can't get preview image:","Невозможно получить изображение:"
"There was an error in generating or receiving preview image.\nPlease try again.","Произошла ошибка при создании или получении изображения.\nПожалуйста, попробуйте снова."
"Error was occurred while preparing preview image","Произошла ошибка во время создания изображения"
"Error was occurred while uploading image","Произошла ошибка во время загрузки изображения"
"Click to close","Закрыть"
"Click to view in large size","Нажмите, чтобы просмотреть в увеличенном виде"
"Click to delete","Нажмите, чтобы удалить"
"Click to edit","Нажмите, чтобы править"
"Can't delete image","Невозможно удалить изображение"
"Delete this image?","Удалить данное изображение?"
"Name","Название"
"Created","Создан"
"Fit in field","Разместить в поле"
"Fit image in field","Разместить изображение в поле"
"Rotate Image Right","Повернуть изображение направо"
"Rotate right","Повернуть направо"
"Rotate Image Left","Повернуть изображение налево"
"Rotate left","Повернуть налево"
"Crop Image","Обрезать изображение"
"Crop","Обрезать"
"Undo all changes","Отменить все изменения"
"Restore","Восстановить"
"Delete Image","Удалить изображение"
"Personalize","Персонализировать"
"Please specify the product's required option(s) and/or personalize it","Пожалуйста, укажите требуемые опции продукта и/или персонализируйте его"
"Pending Review","Ожидает проверки"
"Share preview","Поделиться изображением"
"Save","Сохранить"
"Saved","Сохранено"
"Reset","Сбросить"
"ZetaPrints web-to-print options","ZetaPrints web-to-print опции"
"Customer's personal options for web-to-print extension.","Персональные опции для расширения web-to-print."
"Update all previews first!","Обновите предпросмотры!"
"Update preview first!","Обновите предпросмотр!"
"Settings","Настройки"
"Enabled","Включен"
"ZetaPrints URL","ZetaPrints URL"
"ZetaPrints API Key","ZetaPrints API ключ"
"Store","Магазин"
"Refresh All","Обновлять все"
"For Deleted Templates","Для удаленных шаблонов"
"File Uploading Limit","Ограничение размера загружаемых файлов"
"Up/Down","Показать/Скрыть"
"Collapse/Expand","Свернуть/Развернуть"
"Title","Заголовок"
"Upload","Загрузка"
"My images","Мои изображения"
"Stock images","Изображения"
"Color picker","Выбор цвета"
"Blank","Пустой"
"Default","По-умолчанию"
"Upload new image from your computer","Загрузить новое изображение с вашего компьютера"
"Choose file","Выбрать файл"
"Upload file","Загрузить файл"
"Click to enlarge","Нажмите для увеличения"
"Choose a color","Выберите цвет"
" and click Select to fill the place of the photo."," и нажмите Select, чтобы заполнить место фотографии"
"Click to show page","Нажмите, чтобы увидеть страницу"
"Recommended size:","Рекоменд. размер:"
"px","пикс."
"Use this product as source","Использовать параметры этого продукта"
"Set Defaults For Created Products","Параметры по-умолчанию для создаваемых продуктов"
"Use image","Использовать изображение"
"Selected image","Изображение выбрано"
"Can't crop image","Невозможно обрезать изображение"
"Can't restore image","Невозможно восстановить изображение"
"Can't load image","Невозможно загрузить изображение"
"Can't rotate image","Невозможно повернуть изображение"
"Original size","Оригинальный размер"
"Unknown error occured","Произошла неизвестная ошибка"
"Adapt for this field","Применить к полю"
"Global changes","Глобальные изменения"
"Fit image","Всё изображение"
"Fill frame","Заполнить кадр"
"Fit height","По высоте"
"Fit width","По ширине"
"Cropping this image will affect all fields it is used for.","Изменения затронут все поля, использующие это изображение."
"Uploaded image","Загруженное"
"Cropped image","Обрезанное"
"Recommended image","Рекомендуется"
"at","при"
"dpi","пикс. на дюйм"
"Size and resolution of the uploaded image as it will be shown in the design.","Размер и разрешение загруженного изображения соответствуют таковым в конечном дизайне."
"Size and resolution of the selected image area as it will be shown in the design.","Размер и разрешение выделенной области изображения соответствуют таковым в конечном дизайне."
"Best image size for fit and quality.","Лучший размер для изображения."
"Move, resize and crop the image for the best fit and resolution.","Подвиньте, измените размер или обрежьте изображение для лучшего результата."
"The selected area is too small for quality output.","Выделенная область слишком маленькая."
"The image resolution is too small for quality output. Try resizing here or upload a larger image.","Разрешение изображения слишком маленькое. Попробуйте изменить размер или загрузить большее изображение."
"The image is too small. Upload a larger image or move, resize and crop this one for the best fit.","Изображение слишком маленькое. Загрузите большее изображение или подвиньте, измените размер, обрежьте текущее."
"Fit the image into the frame without cropping. It may leave white space.","Разместить изображение в кадре без обрезки. Возможно появление пустого пространства."
"Fit the image into the frame without any white space. It may crop the image.","Разместить изображение в кадре без пустого пространства. Возможно обрезание изображения."
"Fit the width of the image in the frame. May leave white space above and below.","Разместить изображение в кадре по ширине. Возможно появление пустого пространства сверху и снизу от изображения."
"Fit the height of the image in the frame. May leave white space on the sides.","Разместить изображение в кадре по высоте. Возможно появление пустого пространства по бокам от изображения."
"Return to a default position.","Вернуться к позиции по умолчанию."
