"Click to enlarge image","Нажмите, чтобы увеличить изображение"
"Click to see more images","Нажмите, чтобы увидеть больше изображений"
"PDF Proof","PDF Proof"
"Update preview","Обновить предпросмотр"
"Updating preview image","Предпросмотр обновляется"
"Next page","Следующая страница"
"Show previews","Показать предпросмотры"
"Hide previews","Скрыть предпросмотры"
"Show all order previews","Показать все изображения"
"Hide all order previews","Скрыть все изображения"
"Edit","Редактировать"
"Delete","Удалить"
"Can't get preview image:","Невозможно получить изображение:"
"There was an error in generating or receiving preview image.\nPlease try again.","Произошла ошибка при создании или получении изображения.\nПожалуйста, попробуйте снова."
"Error was occurred while preparing preview image","Произошла ошибка во время создания изображения"
"Error was occurred while uploading image","Произошла ошибка во время загрузки изображения"
"Click to close","Закрыть"
"Click to view in large size","Нажмите, чтобы просмотреть в увеличенном виде"
"Click to delete","Нажмите, чтобы удалить"
"Click to edit","Нажмите, чтобы править"
"Can't delete image","Невозможно удалить изображение"
"Delete this image","Удалить данное изображение"
"Name","Название"
"Created","Создан"
"Web-to-print templates","Web-to-print шаблоны"
"Fit in field","Fit in field"
"Fit image in field","Fit image in field"
"Rotate Image Right","Повернуть изображение направо"
"Rotate right","Повернуть направо"
"Rotate Image Left","Повернуть изображение налево"
"Rotate left","Повернуть налево"
"Crop Image","Обрезать изображение"
"Crop","Обрезать"
"Undo all changes","Отменить все изменения"
"Restore","Восстановить"
"Delete Image","Удалить изображение"
"Personalize","Персонализировать"
"Please specify the product's required option(s) and/or personalize it","Пожалуйста, укажите требуемые опции продукта и/или персонализируйте его"
"Pending Review","Ожидает проверки"
"Share preview","Поделиться изображением"
